symptom_bn,symptom_en,specialty,urgency
গর্ভাবস্থায় দৃষ্টি ঝাপসা,Pregnancy Blurred Vision,Gynecology,emergency
গর্ভাবস্থায় পেট ব্যথা,Pregnancy Abdominal Pain,Gynecology,urgent
গর্ভাবস্থায় শ্বাসকষ্ট,Pregnancy Breathlessness,Gynecology,urgent
গর্ভাবস্থায় জ্বর,Pregnancy Fever,Gynecology,urgent
গর্ভাবস্থায় বমি বেশি,Pregnancy Severe Vomiting,Gynecology,urgent
গর্ভাবস্থায় দুর্বলতা,Pregnancy Weakness,Gynecology,mild
গর্ভাবস্থায় বুক জ্বালা,Pregnancy Heartburn,Gynecology,mild
দাঁতে চাপ ব্যথা,Tooth Pressure Pain,Dentistry,urgent
দাঁতে ঠান্ডা লাগা,Cold Tooth Sensitivity,Dentistry,mild
দাঁতে গরম লাগা,Hot Tooth Sensitivity,Dentistry,mild
মাড়িতে পুঁজ,Gum Pus,Dentistry,urgent
মাড়িতে লাল দাগ,Gum Red Spot,Dentistry,mild
চোয়ালে টান,Jaw Strain,Dentistry,urgent
চোয়াল ক্লিক শব্দ,Jaw Clicking,Dentistry,mild
চোয়ালে ব্যথা খুলতে,Jaw Opening Pain,Dentistry,urgent
মুখের ভেতর কালো দাগ,Oral Dark Spot,Dentistry,urgent
মুখের ভেতর লাল দাগ,Oral Red Spot,Dentistry,urgent
হঠাৎ মাথা ঘুরে পড়ে যাওয়া,Sudden Collapse,Neurology,emergency
হঠাৎ কথা জড়িয়ে যাওয়া,Slurred Speech,Neurology,emergency
হঠাৎ শরীরের এক পাশ অবশ,One Side Body Numb,Neurology,emergency
হঠাৎ স্মৃতি হারানো,Sudden Memory Loss,Neurology,urgent
ঘন ঘন মাথা ঘোরা,Frequent Dizziness,Neurology,urgent
হাত কাঁপা,Hand Tremor,Neurology,urgent
পা কাঁপা,Leg Tremor,Neurology,urgent
ঘুমের মধ্যে খিঁচুনি,Seizure During Sleep,Neurology,emergency
হাত অবশ লাগা,Arm Numbness,Neurology,urgent
পা অবশ লাগা,Leg Numbness,Neurology,urgent
হঠাৎ চোখে আলো ঝলকানি,Flashing Lights Vision,Ophthalmology,urgent
চোখে কালো দাগ ভাসা,Floaters,Ophthalmology,mild
চোখে ডাবল দেখা,Double Vision,Ophthalmology,urgent
চোখে অন্ধকার নেমে আসা,Vision Loss,Ophthalmology,emergency
চোখ লাল হয়ে ব্যথা,Red Painful Eye,Ophthalmology,urgent
চোখ ফুলে যাওয়া,Eye Swelling,Ophthalmology,urgent
চোখের নিচে কালো দাগ,Dark Circles,Ophthalmology,mild
চোখের পাতা পড়ে যাওয়া,Droopy Eyelid,Ophthalmology,urgent
চোখে আলোতে সমস্যা,Light Sensitivity,Ophthalmology,mild
চোখে জ্বালা ও পানি,Burning Watery Eyes,Ophthalmology,mild
নাকে ঘন সর্দি,Thick Nasal Discharge,ENT,mild
নাকে রক্ত পড়া,Nose Bleed,ENT,urgent
নাকে ব্যথা,Nasal Pain,ENT,mild
নাক দিয়ে দুর্গন্ধ,Nasal Foul Smell,ENT,urgent
নাক বন্ধ হয়ে শ্বাসকষ্ট,Nasal Breathing Difficulty,ENT,urgent
কানে শোনা কমে যাওয়া,Hearing Loss,ENT,urgent
কানে গুঞ্জন,Tinnitus,ENT,mild
কানে পুঁজ পড়া,Ear Discharge,ENT,urgent
কানে চাপ ব্যথা,Ear Pressure Pain,ENT,urgent
কানে চুলকানি,Ear Itching,ENT,mild
গলা ফুলে যাওয়া,Swollen Throat,ENT,urgent
গলায় ব্যথা,Throat Pain,ENT,mild
গলায় সংক্রমণ,Throat Infection,ENT,urgent
গলা শুকিয়ে যাওয়া,Dry Throat,ENT,mild
খাবার গিলতে কষ্ট,Difficulty Swallowing,ENT,urgent
গলায় কিছু আটকে থাকা অনুভূতি,Foreign Body Sensation,ENT,urgent
কণ্ঠস্বর বসে যাওয়া,Hoarse Voice,ENT,mild
গলা লাল হয়ে যাওয়া,Red Throat,ENT,mild
গলা চুলকানো,Throat Irritation,ENT,mild
গলা ব্যথা সহ জ্বর,Throat Pain Fever,ENT,urgent
বুকে জ্বালা,Burning Chest,Gastroenterology,mild
বুকে চাপ ব্যথা,Chest Pressure Pain,Cardiology,emergency
বুকে ব্যথা ছড়িয়ে পড়া,Radiating Chest Pain,Cardiology,emergency
হৃদকম্পন বেড়ে যাওয়া,Fast Heartbeat,Cardiology,urgent
হৃদকম্পন ধীর হয়ে যাওয়া,Slow Heartbeat,Cardiology,urgent
শ্বাস নিতে কষ্ট,Breathing Difficulty,Pulmonology,urgent
হঠাৎ শ্বাস বন্ধ হওয়া,Stopped Breathing,Pulmonology,emergency
কাশিতে রক্ত,Blood In Cough,Pulmonology,emergency
দীর্ঘদিন কাশি,Chronic Cough,Pulmonology,urgent
কাশির সাথে শ্বাসকষ্ট,Cough With Breathlessness,Pulmonology,urgent
পেটে তীব্র ব্যথা,Severe Abdominal Pain,Gastroenterology,urgent
পেট ফুলে যাওয়া,Abdominal Bloating,Gastroenterology,mild
পেটে জ্বালা,Stomach Burning,Gastroenterology,mild
পেটে গ্যাস,Gas Problem,Gastroenterology,mild
পেটে মোচড় ব্যথা,Stomach Cramp,Gastroenterology,urgent
খাবার হজম না হওয়া,Indigestion,Gastroenterology,mild
বমি হওয়া,Vomiting,Gastroenterology,urgent
রক্ত বমি,Blood Vomit,Gastroenterology,emergency
ডায়রিয়া,Diarrhea,Gastroenterology,urgent
রক্তসহ পায়খানা,Bloody Stool,Gastroenterology,emergency
পিঠে তীব্র ব্যথা,Severe Back Pain,Orthopedics,urgent
কোমরে ব্যথা,Lower Back Pain,Orthopedics,mild
মেরুদণ্ড শক্ত হয়ে যাওয়া,Spine Stiffness,Orthopedics,mild
হাঁটু ফুলে যাওয়া,Knee Swelling,Orthopedics,urgent
হাঁটু ব্যথা,Knee Pain,Orthopedics,mild
পায়ে ব্যথা,Leg Pain,Orthopedics,mild
গোড়ালিতে ব্যথা,Heel Pain,Orthopedics,mild
হাতের জয়েন্ট ব্যথা,Hand Joint Pain,Orthopedics,mild
আঙুল ফুলে যাওয়া,Finger Swelling,Orthopedics,mild
হাড়ে ব্যথা,Bone Pain,Orthopedics,urgent
ত্বকে লাল দাগ,Red Skin Rash,Dermatology,mild
ত্বকে চুলকানি,Skin Itching,Dermatology,mild
ত্বকে ফুসকুড়ি,Skin Rash,Dermatology,mild
ত্বকে ফোস্কা,Skin Blister,Dermatology,urgent
ত্বকে পুঁজ,Skin Pus,Dermatology,urgent
ত্বকে ফাঙ্গাল সংক্রমণ,Fungal Infection,Dermatology,urgent
ত্বকে কালো দাগ,Dark Skin Patch,Dermatology,mild
ত্বকে সাদা দাগ,White Skin Patch,Dermatology,urgent
ত্বকে ঘা,Skin Ulcer,Dermatology,urgent
ত্বক ফেটে যাওয়া,Cracked Skin,Dermatology,mild
শিশুর জ্বর,Child Fever,Pediatrics,urgent
শিশুর কাশি,Child Cough,Pediatrics,mild
শিশুর শ্বাসকষ্ট,Child Breathing Difficulty,Pediatrics,urgent
শিশুর ডায়রিয়া,Child Diarrhea,Pediatrics,urgent
শিশুর বমি,Child Vomiting,Pediatrics,urgent
শিশুর খিঁচুনি,Child Seizure,Pediatrics,emergency
শিশুর গায়ে ফুসকুড়ি,Child Rash,Pediatrics,mild
শিশুর খাওয়া কমে যাওয়া,Child Poor Feeding,Pediatrics,urgent
শিশুর ওজন কমে যাওয়া,Child Weight Loss,Pediatrics,urgent
শিশুর কান ব্যথা,Child Ear Pain,Pediatrics,urgent
গর্ভাবস্থায় রক্তপাত,Pregnancy Bleeding,Gynecology,emergency
গর্ভাবস্থায় পেট ব্যথা,Pregnancy Abdominal Pain,Gynecology,urgent
গর্ভাবস্থায় মাথা ঘোরা,Pregnancy Dizziness,Gynecology,urgent
গর্ভাবস্থায় ফোলা,Pregnancy Swelling,Gynecology,urgent
গর্ভাবস্থায় জ্বর,Pregnancy Fever,Gynecology,urgent
গর্ভাবস্থায় বমি,Pregnancy Vomiting,Gynecology,mild
গর্ভাবস্থায় শ্বাসকষ্ট,Pregnancy Breathlessness,Gynecology,urgent
গর্ভাবস্থায় চোখ ঝাপসা,Pregnancy Blurred Vision,Gynecology,emergency
গর্ভাবস্থায় দুর্বলতা,Pregnancy Weakness,Gynecology,mild
গর্ভাবস্থায় কোমর ব্যথা,Pregnancy Back Pain,Gynecology,mild
